mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.4533371130625407,0.028014850639838707,0.0678101380666097,0.026095201744517436,gini,15,100,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 100}",0.8106132914704343,0.8027305804917264,0.8273681121138747,0.8135706613586784,0.010273315550493255,58
0.9849581718444824,0.029018245367648278,0.10090676943461101,0.00853504670023902,gini,15,200,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 200}",0.812042909471481,0.8033711981644001,0.8290703646635851,0.8148281574331554,0.010674892484836152,53
2.561561425526937,0.22573502233758092,0.2632383505503337,0.07993828935297581,gini,15,500,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 500}",0.8119958137100995,0.8033774787298185,0.8293072544888527,0.8148935156429236,0.01078226398913415,52
5.689685344696045,0.8463860912538698,0.5650409062703451,0.05091434521045268,gini,15,1000,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 1000}",0.8126572475143904,0.8031744071146245,0.829657348301416,0.8151630009768104,0.01095583995826234,49
0.6406691869099935,0.0225522889605397,0.08925104141235352,0.02325528832056296,gini,20,100,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 100}",0.8116117216117216,0.8051758139612782,0.8294508558431076,0.8154127971387024,0.010268253534154111,48
1.257366418838501,0.09856454746250871,0.17217222849527994,0.0709522415048063,gini,20,200,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 200}",0.8137687074829931,0.8042630384538085,0.8304990409106633,0.816176928949155,0.010845324774653954,37
3.077848275502523,0.328618785900735,0.2768649260203044,0.04701264780820951,gini,20,500,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 500}",0.8134275248560965,0.8037815284384002,0.8308501829082943,0.8160197454009303,0.011201717702133086,43
4.904742320378621,0.1628448708649135,0.5017807483673096,0.01049779899046281,gini,20,1000,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 1000}",0.8134652014652014,0.8038171183091043,0.8308900139408615,0.8160574445717224,0.011203428425099273,42
0.48180023829142254,0.023395297196585833,0.07373412450154622,0.01283379134966069,gini,25,100,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 100}",0.8120533751962324,0.8050156595431098,0.8309067849019421,0.8159919398804282,0.010930745992090006,44
0.9788491725921631,0.039784282783537565,0.09598143895467122,0.0028681963447447314,gini,25,200,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 200}",0.8123694400837258,0.8042232615394922,0.8311803612045742,0.8159243542759307,0.011288618656970263,45
2.3112215995788574,0.11023911210010033,0.22812493642171225,0.009930396430181346,gini,25,500,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 500}",0.8133553113553114,0.804560318550278,0.8318836933849041,0.8165997744301645,0.01138819882075106,21
4.473576466242473,0.268149091125004,0.47889939943949383,0.04060596672748439,gini,25,1000,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 1000}",0.8133908948194661,0.8046712752060026,0.831973837300714,0.8166786691087276,0.011386090024432999,20
0.5315179030100504,0.02151044838178169,0.08513172467549641,0.010380101487582116,gini,30,100,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 100}",0.8128006279434851,0.804339451999732,0.8315472259782187,0.8162291019738119,0.01136900953905174,36
1.0090244611104329,0.049502038899419,0.13749353090922037,0.038913357347499934,gini,30,200,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 200}",0.8142281527995814,0.8049706488242783,0.8314088655493015,0.8168692223910536,0.010953728812298709,8
2.608487288157145,0.03912452619021849,0.29763197898864746,0.04028843153025586,gini,30,500,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 500}",0.8141862899005757,0.8037647802639513,0.8316038279718668,0.8165182993787979,0.011484245599248518,26
4.776767333348592,0.04229961420935403,0.5206251939137777,0.052717469891333385,gini,30,1000,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 1000}",0.814226059654631,0.8041813911033697,0.8325901701204363,0.8169992069594789,0.011762438545101112,3
0.39195720354715985,0.01761104411109573,0.05147488911946615,0.0011070574947336597,gini,50,100,"{'criterion': 'gini', 'min_samples_leaf': 50, 'n_estimators': 100}",0.813767660910518,0.8039374958129565,0.8312767942307895,0.8163273169847547,0.011307024038434811,33
