pessoa feliz;predict_arvore;proba_arvore;proba_naive;predict_naive;proba_reg;predict_reg
1;1;0.7142857142857143;8.579697129590492e-18;0;0.9600642225517804;1
1;1;0.75;2.4202476200220007e-19;0;0.7991387723589284;1
1;1;0.8571428571428571;3.2805976518334406e-10;0;0.9999878034217575;1
1;1;0.8571428571428571;8.082139536815717e-12;0;0.9992679541234352;1
1;1;1.0;1.0;1;0.9876036070974437;1
1;1;1.0;3.797471765008447e-17;0;0.8924957160282729;1
1;1;1.0;3.06516669565876e-19;0;0.9360693660825737;1
1;1;0.5714285714285714;7.157581636489497e-20;0;0.7890900547167926;1
1;1;1.0;1.2570383938120372e-17;0;0.8337661449862952;1
1;1;0.8888888888888888;1.8067856597370697e-17;0;0.38276582462177366;0
1;1;1.0;3.2711606419829412e-12;0;0.9994431128216833;1
1;1;1.0;6.102190899156254e-37;0;0.5988887806380008;1
1;1;0.75;1.0;1;0.9935169068061813;1
1;1;1.0;7.116136131490664e-12;0;0.973578156345433;1
1;1;1.0;3.000655193518013e-18;0;0.8777668514016184;1
1;1;1.0;1.0;1;0.9997915923803217;1
1;1;0.8888888888888888;3.919527969803513e-18;0;0.7402403557956436;1
0;0;0.2857142857142857;2.1582721511366964e-20;0;0.226545460186739;0
0;0;0.2;1.0847836722653193e-17;0;0.9823744117084441;1
0;1;0.8;0.0;0;0.0484408258873533;0
1;1;1.0;7.551130793601744e-18;0;0.8229723661634906;1
1;1;1.0;1.0;1;0.9974243626175346;1
1;1;0.8;2.9939085674655073e-16;0;0.9577327407945739;1
0;0;0.2;1.1857334372838315e-17;0;0.7168514600579662;1
1;1;1.0;1.0;1;0.9906229860978919;1
1;1;0.6666666666666666;5.263977572097275e-19;0;0.6431304715239616;1
0;1;0.625;5.396326145621524e-18;0;0.786714040715636;1
1;1;1.0;1.4185861547534591e-12;0;0.9948486150942562;1
1;1;1.0;1.0;1;0.997542126948568;1
0;1;0.75;2.6508350892410065e-19;0;0.622334205489025;1
1;1;1.0;1.8347292718319832e-20;0;0.5473635136098056;1
1;1;0.75;1.0;1;0.9947960556982999;1
1;1;0.7142857142857143;1.0;1;0.924712875546643;1
0;0;0.2;2.1784594924285247e-24;0;0.32648546610328505;0
1;1;0.6;1.4991627633221899e-12;0;0.9840215834091582;1
0;1;0.625;2.796661557524933e-18;0;0.6051104376595363;1
1;1;1.0;2.0454017979823863e-10;0;0.9985990668440038;1
1;1;1.0;1.2954058461987031e-27;0;0.8163942654771056;1
1;1;0.7142857142857143;8.641368305553138e-17;0;0.950655881796132;1
1;1;0.8571428571428571;6.669538541481252e-06;0;0.9999180997930417;1
0;0;0.2;4.9384886361934225e-20;0;0.5179628729979902;1
1;1;1.0;1.5141701458157912e-12;0;0.9971809033545497;1
0;1;0.5714285714285714;1.413977799905219e-19;0;0.29605327904795437;0
0;1;0.6666666666666666;1.0697362477648855e-18;0;0.5584092080994157;1
1;1;0.8;1.0;1;0.8931666196553197;1
1;1;1.0;2.186997539580216e-20;0;0.7734661018044716;1
1;1;1.0;8.37282310684772e-09;0;0.9994971932502327;1
0;1;0.8888888888888888;4.027251568785077e-16;0;0.7205360244425764;1
1;1;1.0;5.171547061508311e-10;0;0.9996188233006443;1
1;1;1.0;1.2570383938120372e-17;0;0.8337661449862952;1
0;0;0.4;2.3586670759565533e-28;0;0.3063448351477882;0
1;1;0.75;5.771376059050815e-20;0;0.7017139992150879;1
0;0;0.2857142857142857;3.5804244851335283e-20;0;0.5733369953613098;1
1;1;1.0;1.6228945721439496e-15;0;0.8713052400930611;1
1;1;1.0;1.0;1;0.9907480760159664;1
1;1;1.0;1.475378309921778e-17;0;0.7122508980101757;1
1;0;0.2857142857142857;8.339803775841062e-20;0;0.3022503433064748;0
0;1;0.6;6.3336068962596044e-18;0;0.6861647378974353;1
1;1;1.0;1.0;1;0.9974622670106167;1
0;1;0.6;6.50055207540062e-20;0;0.45847177674606515;0
1;1;0.8;1.0324568065247283e-17;0;0.9172079353739002;1
1;1;0.75;1.0;1;0.9873302216464014;1
1;1;1.0;1.0;1;0.9999573494581094;1
1;1;1.0;1.0019140727424402e-19;0;0.6173027923071697;1
1;0;0.4;2.484552500050905e-16;0;0.9041120148426781;1
1;1;1.0;6.277340070637196e-16;0;0.9143400535420999;1
0;0;0.2857142857142857;3.868813657967529e-20;0;0.17775477912324097;0
1;1;1.0;2.2601572766959383e-20;0;0.8178859143717204;1
1;1;1.0;2.3770808165331678e-11;0;0.9999777835745363;1
1;1;1.0;4.468027954253244e-16;0;0.8760918516250198;1
1;1;1.0;1.0;1;0.9798620301888094;1
0;0;0.4;6.95678952427382e-16;0;0.7682427108884244;1
1;1;1.0;5.873386355313426e-20;0;0.5737028208980732;1
1;1;1.0;1.2426050195225696e-17;0;0.9409340479316962;1
0;1;0.5714285714285714;3.209581776020251e-50;0;0.020805162084640998;0
1;1;1.0;7.678551852143215e-19;0;0.9855911244476301;1
1;1;1.0;1.3484515262624933e-19;0;0.9621185145530233;1
1;1;0.8888888888888888;1.6278807562439923e-11;0;0.980059687522048;1
1;1;1.0;8.52199444508546e-22;0;0.659068004150158;1
1;1;1.0;6.958668861966725e-19;0;0.9618452480643345;1
1;1;1.0;1.1322728626555536e-19;0;0.7937122882408616;1
1;1;1.0;2.4220325504478508e-18;0;0.974503535726111;1
1;1;1.0;8.451708240106749e-20;0;0.9600667619341856;1
