mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.357411543528239,0.856900682933474,0.4035345713297526,0.11795444656406319,gini,15,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8126687598116169,0.7980400448851075,0.8304476798423529,0.8137188281796924,0.013251180665982014,30
3.541757106781006,0.09438334859822455,0.4122467835744222,0.06117020544204806,gini,15,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.8126415489272631,0.7989308384136129,0.8309298449734286,0.814167410771435,0.013108020343270915,23
4.630162080128987,0.23141899820595135,0.5062865416208903,0.07458953536640135,gini,15,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 500}",0.8130078492935635,0.7995630819990622,0.8303428613355974,0.8143045975427411,0.012599202911765452,19
6.97333296140035,0.8098081009218661,0.8608528772989908,0.11903102769189326,gini,15,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 1000}",0.8128048142333856,0.8001785774100623,0.8305252455373521,0.8145028790602665,0.012447024670557076,12
3.8379177252451577,0.8810172893493732,0.357341210047404,0.08272457048782411,gini,20,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.812356881214024,0.800802446908287,0.8307453644015388,0.8146348975079499,0.012329817400066275,3
3.437294324239095,0.12402004659528398,0.3567654291788737,0.04107663787292523,gini,20,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.81196336996337,0.800362807329001,0.8305965221219458,0.814307566471439,0.012453669352085592,18
4.217251539230347,0.05465667471431819,0.47567001978556317,0.03902298680356571,gini,20,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 500}",0.8117540554683411,0.8003146563274602,0.8304644508034337,0.8141777208664117,0.01242733927562434,22
5.619159460067749,0.1388470099979097,0.6586763064066569,0.0504248647658533,gini,20,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 1000}",0.8123882783882784,0.7999210742279091,0.8310514344412648,0.8144535956858174,0.012792549482881437,17
3.192544142405192,0.17640517763135194,0.3326992193857829,0.005346655374160866,gini,25,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8118901098901099,0.7987047380585517,0.8287559091433183,0.81311691903066,0.012298970590852481,46
3.3357452551523843,0.11668472823897595,0.37136324246724445,0.03145945223768702,gini,25,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.8123506017791732,0.7989036226301333,0.8296950829638481,0.8136497691243848,0.012604083576731038,31
5.53317920366923,0.6336583973573933,0.5579440593719482,0.08199404701354483,gini,25,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 500}",0.8127022501308216,0.7989161837609701,0.8303973669591104,0.8140052669503007,0.012885123554254387,29
5.698458353678386,0.2800192777549462,0.6845597426096598,0.05270060347065242,gini,25,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 1000}",0.8123045525902669,0.7992155573792457,0.8308543756485646,0.8141248285393591,0.012980466318482285,26
2.8968849182128906,0.07609543343036085,0.3274184862772624,0.023705698460407574,gini,30,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 100}",0.811265306122449,0.7994238627989548,0.829126966657233,0.8132720451928789,0.012208981556665752,41
3.4848787784576416,0.3425289756663622,0.3625502586364746,0.033911572050816435,gini,30,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 200}",0.811541601255887,0.7991810142694447,0.8294917350607424,0.8134047835286914,0.01244423654704648,38
3.9564641316731772,0.1332004297701649,0.5060537656148275,0.032298440274497096,gini,30,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 500}",0.8113731030873887,0.799016672807664,0.8297244321457397,0.8133714026802642,0.012615771130836142,40
5.593364397684733,0.15969839479762044,0.6278095245361328,0.06370587279106442,gini,30,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 30, 'Model__n_estimators': 1000}",0.8110047095761381,0.7988596586722048,0.8302652956405983,0.813376554629647,0.012930525770852526,39
3.124312480290731,0.29788233932798597,0.3423728148142497,0.019794907980741017,gini,50,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 100}",0.8110779696493983,0.7973743049507603,0.8262088194291585,0.8115536980097723,0.011776446674213351,59
3.387401024500529,0.18092535684522637,0.3579442501068115,0.041802436098162365,gini,50,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 200}",0.8106729461015175,0.7976830994171635,0.8265369013553032,0.811630982291328,0.01179897867266735,57
4.245264053344727,0.16549504195714934,0.4838546911875407,0.011859742006888812,gini,50,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 50, 'Model__n_estimators': 500}",0.810152799581371,0.7974140818650768,0.8270630902592162,0.8115433239018879,0.012144027149272447,60
